Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data
1,26-12-2021 12:04:59:033,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016b64c3
2,26-12-2021 12:05:02:536,-,00:A0:50:0C:22:10,-58,1a1310002150005000100001000800000805f9b013100016b64c3
3,26-12-2021 12:05:06:041,-,00:A0:50:0C:22:10,-58,1a1310002150005000100001000800000805f9b013100016b64c3
4,26-12-2021 12:05:19:751,-,00:A0:50:0C:22:10,-58,1a1310002150005000100001000800000805f9b013100016b64c3
5,26-12-2021 12:05:23:250,-,00:A0:50:0C:22:10,-60,1a1310002150005000100001000800000805f9b013100016b64c3
6,26-12-2021 12:05:26:753,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100016b64c3
7,26-12-2021 12:05:40:457,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016c64c3
8,26-12-2021 12:05:47:459,-,00:A0:50:0C:22:10,-58,1a1310002150005000100001000800000805f9b013100016c64c3
9,26-12-2021 12:05:50:960,-,00:A0:50:0C:22:10,-58,1a1310002150005000100001000800000805f9b013100016c64c3
10,26-12-2021 12:06:01:173,-,00:A0:50:0C:22:10,-60,1a1310002150005000100001000800000805f9b013100016c64c3
11,26-12-2021 12:06:08:170,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016c64c3
12,26-12-2021 12:06:11:676,-,00:A0:50:0C:22:10,-58,1a1310002150005000100001000800000805f9b013100016c64c3
13,26-12-2021 12:06:21:882,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100016c63c3